n°,GPS,Period,Date,Freq,Angle,Mean Angle,Level,Period,Latitude,Longitude,Direction,Length,Data,Decoded Lat,Decoded Long
1,valid,valid,23-05-19 16:03:08,4.01677655E8,342,342,-1023,16,35.349849999999996,-74.82906666666666,64,64,26DF70BD570803F43C3C3C3C3C3DA60933FBBBB2433FFFBB6CA332CDAAE4C738,0.0,0.0
2,valid,valid,23-05-19 16:03:29,4.01677696E8,321,321,-1023,19,35.349849999999996,-74.82903333333334,61,64,26D58E9D6EC800981B7BBBFB7732A001480140055C8019D4015441B337333254,0.0,0.0
3,valid,valid,23-05-19 16:03:45,4.01677558E8,8,340,-1023,15,35.349849999999996,-74.82903333333334,74,64,26D8A65D6E8800B958C017377FFFFFBB721C011E1E001E65411A1C01A14019D4,0.0,0.0
4,valid,valid,23-05-19 16:04:00,4.01677607E8,17,14,-129,14,35.349849999999996,-74.82891666666666,201,64,26D04A6D6E4803D61801E180D42BBBFBBFB7B771C01994015E0022AE400D480C,0.0,0.0
5,valid,valid,23-05-19 16:04:15,4.01677626E8,22,19,-1023,15,35.34931666666667,-74.82861666666666,199,64,26D511FD6E08001B641A2601A248177009E75823B5A816EE3AB5D187466BB799,0.0,0.0
6,valid,valid,23-05-19 16:04:30,4.01677677E8,22,22,-1023,15,35.34878333333334,-74.8283,184,64,26DBD1BD6D480118E2218233777777771C1E6581E2601A22415E200AFBBBFFF8,0.0,0.0
7,valid,valid,23-05-19 16:04:48,4.0167773E8,25,23,-1023,16,35.34878333333334,-74.82788333333333,202,64,26D5FDDD6D08005A220277FBBBB77241E658A2260059D0237BB7B7BFB6D92254,0.0,0.0
8,valid,valid,23-05-19 16:05:07,4.01677664E8,340,3,-1023,19,35.34825,-74.8276,41,64,26DB5F3D6CC8007A0C2BBFFFFFBB241A2016732CC2B77BBB7BB6C1E2516215C8,0.0,0.0
9,valid,invalid,23-05-19 16:30:21,4.01677704E8,61,41,-124,65441,35.303983333333335,-74.84161666666667,70,64,26D1EFCD6C88005B181A2511E141E5002FBBBBFFFB7281E6E41E04422E985AAB,0.0,0.0
10,valid,valid,23-05-19 16:30:38,4.01677407E8,29,51,-123,16,35.30345,-74.84235,37,64,26D5ABFD6874B6B67FAEB1E7DF3F441F1817B73F8F59389A5FC66698790B7B09,0.0,0.0
11,valid,valid,23-05-19 16:30:59,4.01677577E8,335,351,-119,19,35.30345,-74.84313333333333,13,64,26DF622D6C08015A04277BBB77BFFB6CC0000401C81F377FFFB6D0019DC45DD0,0.0,0.0
12,valid,valid,23-05-19 16:31:16,4.01677544E8,13,357,-117,15,35.30345,-74.84388333333332,19,64,26D3CC1D6B4801BA2149E1C1A21C00402733BFFBB72E401E66505E25119DC15C,0.0,0.0
13,valid,valid,23-05-19 16:31:35,4.01677605E8,43,23,-120,19,35.30345,-74.84471666666667,31,64,26D28BFD6B0800BA620221C226601A22056220D5E5C1E207A19C1A39D730FD1C,0.0,0.0
14,valid,valid,23-05-19 16:32:00,4.0167752E8,9,20,-118,24,35.30238333333333,-74.84570000000001,32,64,26D4D29D6AC800FBBBBBBB298225422A9C1A21C1A20133BFFFFFFBBBB76D5664,0.0,0.0
15,valid,valid,23-05-19 16:32:19,4.01677678E8,20,15,-116,16,35.30238333333333,-74.8468,107,64,26DABC1D6A88009826A416218637BBBBBBBB241A18A264162549E2111D8237F8,0.0,0.0
16,valid,valid,23-05-19 16:32:40,4.01677573E8,16,18,-116,21,35.301849999999995,-74.84798333333333,106,48,2604A545082512223247D5100575787BFC1C34CAA5459DE6,0.0,0.0
17,valid,valid,23-05-19 16:33:00,4.01677553E8,24,21,-116,19,35.301849999999995,-74.84915,104,64,26DF7FCD6A48007A77BBBBFB71D21C1A2015E50959499401B6A76B2DA809F92A,0.0,0.0
18,valid,valid,23-05-19 16:33:25,4.01677507E8,37,31,-113,23,35.301849999999995,-74.85065,109,64,26D0C36D6A0800F881F3FFFFFFFFFB2015E000400023777BBB2001E1C15940C0,0.0,0.0
19,valid,valid,23-05-19 16:33:43,4.01677656E8,24,30,-114,17,35.30131666666667,-74.8517,111,64,26D62F6D6948013B77BBBB72A022015E2015D86337BBFFFFB732E022AA415E20,0.0,0.0
20,valid,valid,23-05-19 16:34:00,4.01677452E8,21,23,-110,16,35.30131666666667,-74.85271666666667,98,64,26D45EED690800BB7FFFFFB7201E11221C162109E258A221C1A26650E21D3305,0.0,0.0
